Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk,Market Price Trends
Mccoy PLC,Multi-Cloud Management,24 months,HIPAA,99.9%,90,35517,3536,39053,0.0904961817583414,0.2031539371899681,0.9196034194214366,Increasing
Taylor PLC,AI-Powered Security,24 months,FedRAMP,99.99%,60,28046,767,28813,0.0364329354937183,0.7343836413549505,0.6862499358575073,Decreasing
"Gibson, Rodriguez and Wade",Cloud Optimization,12 months,ISO 27001,99.95%,45,27684,1437,29121,0.0675661493138899,0.3235299141781389,0.8566530158063121,Increasing
Carey-Kelly,Multi-Cloud Management,24 months,HIPAA,99.9%,30,23743,1018,24761,0.0660009477899029,0.3792987926721874,0.7716649382727022,Increasing
"Powell, Gibbs and Sutton",AI-Powered Security,24 months,SOC2,99.99%,45,29221,2835,32056,0.0281834925408771,0.2612873603368378,0.7513717705355027,Decreasing
"Thomas, Moore and Stephens",Multi-Cloud Management,12 months,FedRAMP,99.99%,30,39469,4037,43506,0.1025825960169405,0.0197320956684052,0.117553261625438,Stable
"Clark, Ruiz and Wright",Cloud Optimization,24 months,HIPAA,99.95%,30,20769,807,21576,0.1057455500710808,0.3601316877738744,0.0454646272049258,Increasing
"Contreras, Nicholson and Gray",Cloud Optimization,12 months,HIPAA,99.99%,30,27355,2734,30089,0.0822180097472727,0.4530147503801884,0.877758342192733,Stable
Clark Inc,Cloud Optimization,12 months,ISO 27001,99.9%,30,23817,3154,26971,0.0580733091080974,0.62259379656269,0.1581326457193645,Increasing
Barber PLC,AI-Powered Security,24 months,SOC2,99.9%,90,20504,1776,22280,0.0227041427087915,0.1032934675526431,0.5728587516185395,Increasing
"Harvey, Zimmerman and Gutierrez",AI-Powered Security,12 months,SOC2,99.99%,45,28246,4783,33029,0.1420186758422431,0.100440417861966,0.1555903243850078,Increasing
"Lee, Payne and Morgan",AI-Powered Security,12 months,ISO 27001,99.99%,90,26709,1843,28552,0.0460987771481624,0.9385888581772964,0.3169452886355854,Stable
"Taylor, Parker and Trevino",AI-Powered Security,36 months,HIPAA,99.9%,30,23465,876,24341,0.0191023164563827,0.9043768336609926,0.5258496362638133,Stable
Edwards-Wilcox,Multi-Cloud Management,36 months,SOC2,99.99%,30,39861,1730,41591,0.0337146217163034,0.8741822332939535,0.2634427593968093,Increasing
Bond Inc,Cloud Optimization,36 months,HIPAA,99.9%,45,25637,4889,30526,0.0600328643308216,0.5769221385996435,0.854916958559771,Stable
Kim and Sons,Cloud Optimization,36 months,ISO 27001,99.99%,45,17555,1589,19144,0.0847759884335906,0.4478913448444631,0.3092688787921896,Increasing
Norris Group,Multi-Cloud Management,12 months,ISO 27001,99.9%,90,27694,1503,29197,0.1179423460935338,0.7524420064480531,0.208840416422792,Increasing
"Carroll, Payne and George",Multi-Cloud Management,24 months,FedRAMP,99.9%,60,20938,4801,25739,0.1089662037161125,0.0955362076362371,0.3960243463023462,Decreasing
Ramos Ltd,Multi-Cloud Management,12 months,ISO 27001,99.9%,60,22926,4357,27283,0.0784774601277323,0.8991452884450164,0.726608021181275,Increasing
Garner PLC,AI-Powered Security,36 months,ISO 27001,99.99%,90,23091,1293,24384,0.0025988957633545,0.5749105882071062,0.2124147325232152,Stable
"Beck, Owens and Mitchell",Multi-Cloud Management,24 months,HIPAA,99.9%,60,36139,709,36848,0.0842286898159717,0.6369576180207995,0.9724845622761592,Decreasing
Hernandez PLC,Cloud Optimization,36 months,ISO 27001,99.99%,60,24650,3324,27974,0.0606468646829638,0.875329082637908,0.189356227680665,Stable
"Patton, Atkins and Bush",AI-Powered Security,12 months,SOC2,99.95%,45,33568,1402,34970,0.0830664843898872,0.3466404319631928,0.2015141254241084,Stable
Young PLC,Multi-Cloud Management,12 months,FedRAMP,99.99%,30,24244,2664,26908,0.0918224732420085,0.5492512713778943,0.2730287956758593,Increasing
"Schwartz, Allen and Carter",AI-Powered Security,36 months,SOC2,99.95%,60,27762,2472,30234,0.0279766518756089,0.1772093798212395,0.8730356015261367,Decreasing
Carlson-Williams,AI-Powered Security,36 months,FedRAMP,99.9%,45,18653,1659,20312,0.0646868686770415,0.6869560692277907,0.2892824244419629,Increasing
Zimmerman-Boyd,AI-Powered Security,12 months,HIPAA,99.9%,45,27472,3539,31011,0.0166578666567164,0.7227620328396968,0.2675118573538666,Increasing
Conley PLC,Multi-Cloud Management,24 months,SOC2,99.95%,30,21607,3453,25060,0.118342634481185,0.7599971583309685,0.3489949353019109,Decreasing
Ramirez Group,AI-Powered Security,12 months,ISO 27001,99.9%,60,27047,2646,29693,0.0339665643155838,0.5792678295751993,0.5786950787176466,Increasing
Fleming-Ray,AI-Powered Security,24 months,ISO 27001,99.9%,45,31349,1502,32851,0.0344641012283289,0.0356052265165087,0.8045325957431239,Increasing
Wallace-Turner,AI-Powered Security,36 months,SOC2,99.9%,45,26585,2117,28702,0.1161825491210537,0.20908484215873,0.4531567443050265,Stable
Tyler Group,Cloud Optimization,24 months,FedRAMP,99.9%,90,18600,1081,19681,0.0644323685281013,0.4874404737597884,0.1380276089378967,Decreasing
Gill LLC,Multi-Cloud Management,24 months,HIPAA,99.9%,90,34030,630,34660,0.0369781943759052,0.8030945758806354,0.6120496214481532,Decreasing
Dickerson LLC,AI-Powered Security,12 months,FedRAMP,99.9%,45,33333,537,33870,0.0112737848007127,0.3475583273116019,0.6147573887406486,Stable
Brown PLC,Cloud Optimization,24 months,HIPAA,99.9%,90,29834,3114,32948,0.072716709013567,0.1057789068940669,0.2779220107693591,Increasing
Smith-Norman,AI-Powered Security,24 months,HIPAA,99.9%,45,29026,4724,33750,0.1054276235094048,0.6140436069725635,0.5102626462206492,Decreasing
Cooley LLC,Multi-Cloud Management,12 months,HIPAA,99.9%,45,22581,4287,26868,0.1278016274232564,0.9131846040910838,0.847216167760015,Decreasing
Kramer Ltd,Cloud Optimization,12 months,ISO 27001,99.99%,90,24184,2128,26312,0.0987933763444641,0.9754382898535706,0.872146859858875,Increasing
"King, Walsh and Horn",Multi-Cloud Management,12 months,SOC2,99.95%,60,34960,2554,37514,0.0763503275305107,0.9915977755299852,0.9832159866537458,Decreasing
