Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk
Mccoy PLC,Multi-Cloud Management,24 months,HIPAA,99.9%,90,35517,3536,39053,0.09049618175834145,0.2031539371899681,0.9196034194214366
Taylor PLC,AI-Powered Security,24 months,FedRAMP,99.99%,60,28046,767,28813,0.03643293549371835,0.7343836413549505,0.6862499358575073
"Gibson, Rodriguez and Wade",Cloud Optimization,12 months,ISO 27001,99.95%,45,27684,1437,29121,0.06756614931388998,0.3235299141781389,0.8566530158063121
Carey-Kelly,Multi-Cloud Management,24 months,HIPAA,99.9%,30,23743,1018,24761,0.0660009477899029,0.37929879267218747,0.7716649382727022
"Powell, Gibbs and Sutton",AI-Powered Security,24 months,SOC2,99.99%,45,29221,2835,32056,0.02818349254087711,0.26128736033683786,0.7513717705355027
"Thomas, Moore and Stephens",Multi-Cloud Management,12 months,FedRAMP,99.99%,30,39469,4037,43506,0.10258259601694052,0.01973209566840528,0.117553261625438
"Clark, Ruiz and Wright",Cloud Optimization,24 months,HIPAA,99.95%,30,20769,807,21576,0.10574555007108087,0.3601316877738744,0.045464627204925834
"Contreras, Nicholson and Gray",Cloud Optimization,12 months,HIPAA,99.99%,30,27355,2734,30089,0.08221800974727277,0.45301475038018846,0.877758342192733
Clark Inc,Cloud Optimization,12 months,ISO 27001,99.9%,30,23817,3154,26971,0.058073309108097465,0.62259379656269,0.15813264571936458
Barber PLC,AI-Powered Security,24 months,SOC2,99.9%,90,20504,1776,22280,0.022704142708791526,0.10329346755264313,0.5728587516185395
"Harvey, Zimmerman and Gutierrez",AI-Powered Security,12 months,SOC2,99.99%,45,28246,4783,33029,0.1420186758422431,0.100440417861966,0.15559032438500786
"Lee, Payne and Morgan",AI-Powered Security,12 months,ISO 27001,99.99%,90,26709,1843,28552,0.04609877714816243,0.9385888581772965,0.31694528863558546
"Taylor, Parker and Trevino",AI-Powered Security,36 months,HIPAA,99.9%,30,23465,876,24341,0.01910231645638279,0.9043768336609926,0.5258496362638133
Edwards-Wilcox,Multi-Cloud Management,36 months,SOC2,99.99%,30,39861,1730,41591,0.03371462171630341,0.8741822332939535,0.2634427593968093
Bond Inc,Cloud Optimization,36 months,HIPAA,99.9%,45,25637,4889,30526,0.060032864330821674,0.5769221385996435,0.854916958559771
Kim and Sons,Cloud Optimization,36 months,ISO 27001,99.99%,45,17555,1589,19144,0.08477598843359062,0.44789134484446314,0.30926887879218967
Norris Group,Multi-Cloud Management,12 months,ISO 27001,99.9%,90,27694,1503,29197,0.1179423460935338,0.7524420064480531,0.20884041642279205
