Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk,Market Price Trends_Increasing,Market Price Trends_Stable
Supplier_52,AI Software,12,1,99.84715995177147,60,27669,4315,31984,0.12525185493248533,0.050000000000000044,0.7322379140922876,0,0
Supplier_93,Cloud Storage,36,0,99.58432372235468,90,31538,746,32284,0.13381070306338957,0.1777777777777778,0.08777291412344057,1,0
Supplier_15,Database Management,36,1,99.97648579952964,90,30065,2929,32994,0.025256694516913793,0.04444444444444451,0.6681806619579052,0,0
Supplier_72,Cybersecurity Suite,24,0,99.71991868641584,45,30171,1490,31661,0.18915529944926945,0.22222222222222232,0.8958121013985787,1,0
Supplier_61,AI Software,36,1,99.57792225183273,45,37696,3810,41506,0.026514815496896472,0.0888888888888888,0.05778819701986415,0,1
Supplier_21,Cloud Storage,24,0,99.58829591952279,60,22962,1426,24388,0.15493458743635968,0.06666666666666665,0.14065333923366674,0,1
Supplier_83,Data Analytics Tool,24,1,99.54813514617265,60,33851,3938,37789,0.052963264355663765,0.21666666666666656,0.7166319367020314,0,0
Supplier_87,Database Management,24,1,99.89372387313311,60,39322,3107,42429,0.18671862874025033,0.06666666666666665,0.43728164824461757,1,0
Supplier_75,AI Software,24,1,99.5597949422177,30,32979,1574,34553,0.1439919078738959,0.0,0.40354862081368836,0,1
Supplier_75,AI Software,12,0,99.56131137599945,30,39581,4522,44103,0.1507627425956738,0.3666666666666667,0.6369666345442359,1,0
Supplier_88,Cybersecurity Suite,24,0,99.9167310912328,45,25296,4299,29595,0.043811834611976665,0.0,0.5067700407177881,1,0
Supplier_100,Cybersecurity Suite,48,1,99.6688560013793,30,34745,3651,38396,0.08860799532703217,0.0,0.12654531119637724,1,0
Supplier_24,Data Analytics Tool,36,1,99.51512037311096,60,25730,3938,29668,0.12356263891785729,0.30000000000000004,0.9766204563105404,0,0
Supplier_3,Data Analytics Tool,48,0,99.52542869676402,60,33921,3991,37912,0.1539947236413202,0.1499999999999999,0.9636152989616567,1,0
Supplier_22,Cloud Storage,12,1,99.56966351888491,30,20126,1206,21332,0.020791875182477916,0.6333333333333333,0.2582643578871635,1,0
Supplier_53,Cloud Storage,48,1,99.60456274050809,90,25602,3564,29166,0.1924730632909057,0.14444444444444438,0.4807861681797273,0,1
Supplier_2,Data Analytics Tool,36,1,99.82592163517681,45,37575,1253,38828,0.17804413411091122,0.2666666666666666,0.9920159693968357,0,1
Supplier_88,Data Analytics Tool,48,1,99.57708987720089,90,39023,1087,40110,0.05406971809911687,0.0,0.6866504233540373,0,1
Supplier_30,Database Management,12,1,99.55824845167676,45,32581,1834,34415,0.1645520486064664,0.04444444444444451,1.0413567713051985,0,1
Supplier_38,Cybersecurity Suite,24,0,99.87471237932337,90,35997,2347,38344,0.10366478460796469,0.11111111111111116,0.6148476065605457,1,0
Supplier_2,Cloud Storage,48,1,99.82881708909136,30,37750,4434,42184,0.09236129631240374,0.6000000000000001,0.7678609231258553,1,0
Supplier_64,Cybersecurity Suite,12,1,99.71330886851307,45,29211,4426,33637,0.06288682116228109,0.288888888888889,0.8405091729413219,0,1
Supplier_60,Cybersecurity Suite,12,0,99.76916178802524,45,34997,3817,38814,0.1161937173263185,0.3111111111111111,0.12291118254224498,0,0
Supplier_21,Data Analytics Tool,36,1,99.65287216995995,45,26671,4520,31191,0.14597782354071956,0.0,0.20307059292006213,0,1
Supplier_33,Database Management,36,1,99.73642520591532,60,32271,3655,35926,0.08218658099255166,0.06666666666666665,0.6019519246152196,0,1
Supplier_76,AI Software,48,1,99.74826959800154,60,28876,4802,33678,0.12584383860165843,0.0,0.8457448783257632,0,1
Supplier_58,Database Management,24,1,99.68974626287726,90,22887,2698,25585,0.13986258423106077,0.0,0.5462660507879304,0,1
Supplier_22,Database Management,12,1,99.94422038322935,30,29654,664,30318,0.1422243634030572,0.0,1.1546211935154629,0,1
Supplier_89,Cybersecurity Suite,48,1,99.5078703138407,60,24086,2498,26584,0.010393219626236051,0.08333333333333326,0.7093142948034834,1,0
Supplier_49,Database Management,12,0,99.88326391891471,45,38645,3557,42202,0.1719495611370134,0.1777777777777778,0.5861823540883414,1,0
Supplier_91,Cloud Storage,12,1,99.56094758730825,60,24180,2584,26764,0.0916506629530096,0.16666666666666674,0.3572419681701362,0,0
Supplier_59,Cybersecurity Suite,24,0,99.89079820666322,30,22841,4928,27769,0.05248321633924289,0.5,0.5770533417135443,0,1
Supplier_42,Cloud Storage,24,1,99.8017968386816,60,26040,902,26942,0.048352901495936323,0.21666666666666656,0.3422655927897462,0,1
Supplier_92,AI Software,48,1,99.91320626455884,45,39944,913,40857,0.0966028225687901,0.0,0.08387373855201208,0,1
Supplier_60,Cybersecurity Suite,24,1,99.54778201956404,90,30304,544,30848,0.17736630789379185,0.21111111111111103,1.1928039781860145,1,0
Supplier_80,AI Software,24,1,99.77390051070888,45,24758,4657,29415,0.0756695163365294,0.24444444444444446,0.1271824536325109,0,1
Supplier_15,Cybersecurity Suite,48,1,99.74553306132847,30,37010,2967,39977,0.14994514935670866,0.10000000000000009,0.07234838383605735,0,0
